id,target_id,metric_name,value,tags
0193da46-81ce-7bb0-984d-f48b8dfec7e5,0193da46-71f1-7271-8016-7ab78db56f81,dashboard_fixture_jaccard_similarity,1.0,{}
0193da46-8472-7ab1-8be6-212e39d5fe57,0193da46-6462-7382-8088-477b2a6250e6,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-839a-7010-b89c-bb96a3728652,0193da46-65d6-7d93-80a6-e66dbc534c4a,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-8235-7c60-a2fd-c3436b51f4b0,0193da46-6342-73c2-81b9-1b88b83526bb,dashboard_fixture_jaccard_similarity,1.0,{}
0193da46-8483-73f0-8e5b-6132b5e199ca,0193da46-66f1-7401-81ff-eca6758da7ca,dashboard_fixture_jaccard_similarity,1.0,{}
0193da46-837b-7371-8540-64ade0d235f6,0193da46-68a4-7580-83c2-97229edd3768,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-82d7-7291-a8b3-3947b7a1c7fd,0193da46-624b-77e0-83c9-1284b811fc59,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-8197-7c43-91c5-609348368702,0193da46-7400-7820-83f4-70bd6312b046,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-8472-7ab1-8be6-211522dec7e0,0193da46-6a83-7432-83fa-48cc1fff8b50,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-8359-7b11-a25b-8ab7e97527d1,0193da46-66b2-70c3-8459-9d1e9c13e911,dashboard_fixture_jaccard_similarity,0.75,{}
0193da46-830d-7d20-b70f-42e5b74cde42,0193da46-68b4-7ca3-850a-58591fbebe5b,dashboard_fixture_jaccard_similarity,0.33333334,{}
0193da46-8497-7122-b517-801b6f662ed4,0193da46-6e61-7000-852a-41c94a289f09,dashboard_fixture_jaccard_similarity,0.5,{}
0193da46-84b0-7c03-a57a-9ccdafbef8ca,0193da46-6240-7f03-85bf-2a50e12daeeb,dashboard_fixture_jaccard_similarity,0.33333334,{}
0193da46-82b6-7231-945f-6b713e15ca3b,0193da46-632f-7580-865f-7e5e6e2d06ae,dashboard_fixture_jaccard_similarity,1.0,{}
0193da46-8199-7651-9938-21a01f550a8b,0193da46-6801-73f2-87d7-78a061982043,dashboard_fixture_jaccard_similarity,1.0,{}
0193da46-8485-73b1-8970-2ec065092e1d,0193da46-68c9-7ff2-8880-2bfa05ecf9f1,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-8404-7573-adca-48d6a7137ed7,0193da46-626f-78c2-88b2-faf1e86e0c70,dashboard_fixture_jaccard_similarity,1.0,{}
0193da46-8340-7003-9f10-6ffec283bf00,0193da46-6217-7520-8a00-3f4531e7d3ec,dashboard_fixture_jaccard_similarity,1.0,{}
0193da46-827e-7082-ab56-da3c8f590ef7,0193da46-618b-7703-8a2a-84330f3b4cd0,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-820c-77d0-8ee8-5e3e2e90adc3,0193da46-705c-7f51-8a64-7148edd800eb,dashboard_fixture_jaccard_similarity,0.0,{}
0193da46-8291-7623-a019-3b4c43fae2bf,0193da46-61ac-7651-8a68-199d428a1754,dashboard_fixture_jaccard_similarity,0.2,{}
0193da46-83c4-7350-b302-4e3ca38b6c41,0193da46-64e9-7aa1-8ad5-3119fdb7c716,dashboard_fixture_jaccard_similarity,0.16666667,{}
0193da46-83fb-70b1-8609-d033b7a8ce11,0193da46-6292-7d51-8adc-2619bab23d8a,dashboard_fixture_jaccard_similarity,1.0,{}
