id,inference_id,value,tags
0193da94-5754-7101-900c-dbb0cdcc42ca,01944c89-7f38-7be3-bb9e-5d47915f4ae2,"{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[\""Doetinchem-Doetinchem\""]}"",""parsed"":{""person"":[],""organization"":[],""location"":[],""miscellaneous"":[""Doetinchem-Doetinchem""]}}",{}
0193da94-586a-7240-a7c2-d3d6d675c9a9,019468b6-9218-71e1-9985-beb51df1b05c,"{""raw"":""{\""person\"":[\""Sorensen\""],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Sorensen""],""organization"":[],""location"":[],""miscellaneous"":[]}}",{}
0193da94-5826-78b0-893f-8cac95c70295,0194513b-ad08-7753-9052-7c7899b49208,"{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""SEOUL\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""SEOUL""],""miscellaneous"":[]}}",{}
0193da94-5728-77c2-8842-da9cb3389e81,01944325-2398-7392-8deb-2d12f52d2fd7,"{""raw"":""{\""person\"":[],\""organization\"":[\""RTRS\"",\""RBA\""],\""location\"":[\""Australia\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""RTRS"",""RBA""],""location"":[""Australia""],""miscellaneous"":[]}}",{}
0193da94-5912-7721-8f47-d7bbb3f0a829,01943830-0e08-7c81-8909-a7521de244f1,"{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""LIBERIA\"",\""Costa Rica\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""LIBERIA"",""Costa Rica""],""miscellaneous"":[]}}",{}
0193da94-5854-74d0-9953-c116c18f8c40,01946725-d828-7841-a63b-ba92360198ad,"{""raw"":""{\""person\"":[],\""organization\"":[\""Roda JC Kerkrade\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""Roda JC Kerkrade""],""location"":[],""miscellaneous"":[]}}",{}
0193da94-58a1-73c1-a528-1e1735f0d8ec,01947474-04a0-7303-9334-b2703daefa43,"{""raw"":""{\""person\"":[],\""organization\"":[\""Forsa\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""Forsa""],""location"":[],""miscellaneous"":[]}}",{}
0193da94-57ba-79b3-9d92-95776fcc2b94,01943a89-24f0-70c1-baa3-9ef8d6d45040,"{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[\""BUDAPEST\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[""BUDAPEST""],""miscellaneous"":[]}}",{}
0193da94-58b7-7163-aa46-9d9ce89ecb84,019484e3-a4f8-71b3-b609-a4a3eee1e068,"{""raw"":""{\""person\"":[\""Paul\""],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Paul""],""organization"":[],""location"":[],""miscellaneous"":[]}}",{}
0193da94-5898-7433-ac5c-f3fc7f87131f,019439c0-c7f8-7b52-9d31-f779e4cec0dc,"{""raw"":""{\""person\"":[],\""organization\"":[\""LG\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[""LG""],""location"":[],""miscellaneous"":[]}}",{}
0193da94-573c-7893-a247-e66ce54a29a9,019464cc-c140-72d0-8137-56233a46fc68,"{""raw"":""{\""person\"":[\""Judith Wiesner\"",\""Debbie Graham\""],\""organization\"":[],\""location\"":[\""Austria\"",\""U.S.\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Judith Wiesner"",""Debbie Graham""],""organization"":[],""location"":[""Austria"",""U.S.""],""miscellaneous"":[]}}",{}
0193da94-5705-7b53-9edb-0ef5308907d3,01946b0f-a900-7eb2-8115-2915faeb5a9c,"{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[\""Israeli\""]}"",""parsed"":{""person"":[],""organization"":[],""location"":[],""miscellaneous"":[""Israeli""]}}",{}
0193da94-5902-7ed2-a659-04efe4c61ea7,01944194-69a8-7e13-a73f-470ecf1ccdce,"{""raw"":""{\""person\"":[\""Olaf Ludwig\""],\""organization\"":[\""Telekom\""],\""location\"":[\""Germany\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Olaf Ludwig""],""organization"":[""Telekom""],""location"":[""Germany""],""miscellaneous"":[]}}",{}
0193da94-5922-7861-b3e9-6f1fb212bed6,01947d10-0348-7512-983a-b4c313ecab3e,"{""raw"":""{\""person\"":[\""Banharn\"",\""Chatichai Choonhavan\""],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Banharn"",""Chatichai Choonhavan""],""organization"":[],""location"":[],""miscellaneous"":[]}}",{}
0193da94-5718-7792-ad42-6bfbab250c28,0194665d-7b30-7443-a527-08664a3ecf90,"{""raw"":""{\""person\"":[\""Jackie McNamara\""],\""organization\"":[\""Celtic\""],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Jackie McNamara""],""organization"":[""Celtic""],""location"":[],""miscellaneous"":[]}}",{}
0193da94-5887-7b71-b09f-47bbd847f224,01945394-c3f0-7301-9399-512e568b1eba,"{""raw"":""{\""person\"":[\""Els Callens\"",\""Annabel Ellwood\""],\""organization\"":[],\""location\"":[\""Belgium\"",\""Australia\""],\""miscellaneous\"":[]}"",""parsed"":{""person"":[""Els Callens"",""Annabel Ellwood""],""organization"":[],""location"":[""Belgium"",""Australia""],""miscellaneous"":[]}}",{}
0193da94-582e-7510-8306-9944e90b695d,01943b51-81e8-7b30-a6e5-1536b9de1ff1,"{""raw"":""{\""person\"":[],\""organization\"":[],\""location\"":[],\""miscellaneous\"":[]}"",""parsed"":{""person"":[],""organization"":[],""location"":[],""miscellaneous"":[]}}",{}
